species_id,scientific_name,common_name,status,kingdom,detail_url,image_url
20436,Abroscopus superciliaris,Yellow-bellied Warbler,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20436,https://cms.mybis.gov.my/thumbnail/s300_2946.jpeg
22730,Accipiter gularis,Japanese Sparrowhawk,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22730,https://cms.mybis.gov.my/thumbnail/s300_3255.jpeg
20456,Accipiter trivirgatus,Crested Goshawk,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20456,https://cms.mybis.gov.my/thumbnail/s300_10987.jpeg
22732,Acridotheres fuscus,Jungle Myna,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22732,https://cms.mybis.gov.my/img/aves.png
20536,Acridotheres tristis,Common Myna,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20536,https://cms.mybis.gov.my/thumbnail/s300_2191.jpeg
50639,Acrogomphus malayanus,Malayan Hooktail,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=50639,https://cms.mybis.gov.my/thumbnail/s300_9869.jpeg
20570,Actenoides concretus,Rufous-collared Kingfisher,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20570,https://cms.mybis.gov.my/thumbnail/s300_2344.jpeg
20574,Actitis hypoleucos,Common Sandpiper,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20574,https://cms.mybis.gov.my/thumbnail/s300_2794.jpeg
20584,Aegithina tiphia,Common Iora,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20584,https://cms.mybis.gov.my/thumbnail/s300_4704.jpeg
9978,Limnonectes paramacrodon,Lesser Swamp Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9978,https://cms.mybis.gov.my/thumbnail/s300_6883.jpeg
9976,Limnonectes plicatellus,Rhinoceros Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9976,https://cms.mybis.gov.my/thumbnail/s300_6884.jpeg
9977,Limnonectes tweediei,Katak Tweedie,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9977,https://cms.mybis.gov.my/thumbnail/s300_6885.jpeg
21284,Lipinia vittigera,Common Striped Skink,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21284,https://cms.mybis.gov.my/img/reptilia.png
21764,Lonchura maja,White-headed Munia,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21764,https://cms.mybis.gov.my/thumbnail/s300_3195.jpeg
21769,Lonchura punctulata,Scaly-breasted Munia,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21769,https://cms.mybis.gov.my/thumbnail/s300_2913.jpeg
52741,Lutrogale perspicillata,Smooth-coated Otter,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52741,https://cms.mybis.gov.my/thumbnail/s300_14284.jpeg
58263,Lycodon albofuscus,Dusky Wolf Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=58263,https://cms.mybis.gov.my/thumbnail/s300_9578.jpeg
21276,Lycodon butleri,Butler's Wolf Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21276,https://cms.mybis.gov.my/thumbnail/s300_11196.jpeg
9920,Lycodon effraenis,Dusky Wolf Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9920,https://cms.mybis.gov.my/thumbnail/s300_11197.jpeg
21065,Lycodon subannulatus,Malayan Bridle Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21065,https://cms.mybis.gov.my/thumbnail/s300_3552.jpeg
21279,Lycodon subcinctus,Malayan Banded Wolf Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21279,https://cms.mybis.gov.my/thumbnail/s300_3555.jpeg
20149,Macaca fascicularis,Long-tailed Macaque,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20149,https://cms.mybis.gov.my/thumbnail/s300_4308.jpeg
20152,Macaca nemestrina,Pig-tailed Macaque,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20152,https://cms.mybis.gov.my/thumbnail/s300_4313.jpeg
21323,Macrocalamus chanardi,Chan-ard Mountain Reed Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21323,https://cms.mybis.gov.my/thumbnail/s300_11199.jpeg
21325,Macrocalamus gentingensis,Genting Highlands Reed Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21325,https://cms.mybis.gov.my/thumbnail/s300_11200.jpeg
21331,Macrocalamus schulzi,Schulz's Reed Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21331,https://cms.mybis.gov.my/thumbnail/s300_7664.jpeg
21332,Macrocalamus tweediei,Tweedie's Reed Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21332,https://cms.mybis.gov.my/img/snake.png
18547,Macroglossus minimus,Long-tongued Nectar Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18547,https://cms.mybis.gov.my/thumbnail/s300_11558.jpeg
23973,Macrognathus maculatus,Frecklefin Eel,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=23973,https://cms.mybis.gov.my/thumbnail/s300_10028.jpeg
58057,Malayopython reticulatus,Reticulated Python,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=58057,https://cms.mybis.gov.my/thumbnail/s300_7186.jpeg
20162,Manis javanica,Malayan Pangolin,Vulnerable,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20162,https://cms.mybis.gov.my/thumbnail/s300_11607.jpeg
20139,Martes flavigula,Yellow-throated Marten,Near Threat,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20139,https://cms.mybis.gov.my/img/carnivora.png
20171,Maxomys rajah,Rajah Spiny Rat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20171,https://cms.mybis.gov.my/thumbnail/s300_2334.jpeg
20172,Maxomys surifer,Tikus Duri Merah,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20172,https://cms.mybis.gov.my/thumbnail/s300_13009.jpeg
20174,Maxomys whiteheadi,Whitehead's Rat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20174,https://cms.mybis.gov.my/thumbnail/s300_4970.jpeg
18550,Megaderma spasma,Malaysian False Vampire,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18550,https://cms.mybis.gov.my/thumbnail/s300_11556.jpeg
18554,Megaerops ecaudatus,Tailless Fruit Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18554,https://cms.mybis.gov.my/thumbnail/s300_11555.jpeg
19690,Megophrys aceras,Perak Spadefoot Toad,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=19690,https://cms.mybis.gov.my/thumbnail/s300_6945.jpeg
52625,Megophrys longipes,Malacca Spadefoot Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52625,https://cms.mybis.gov.my/thumbnail/s300_7120.jpeg
9969,Megophrys nasuta,Malayan Horned Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9969,https://cms.mybis.gov.my/thumbnail/s300_7118.jpeg
21878,Meiglyptes tristis,White-rumped Woodpecker,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21878,https://cms.mybis.gov.my/thumbnail/s300_2782.jpeg
21879,Meiglyptes tukki,Buff-necked Woodpecker,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21879,https://cms.mybis.gov.my/thumbnail/s300_3559.jpeg
21887,Merops philippinus,Blue-tailed Bee-eater,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21887,https://cms.mybis.gov.my/thumbnail/s300_3005.jpeg
21888,Merops viridis,Blue-throated Bee-eater,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21888,https://cms.mybis.gov.my/thumbnail/s300_2777.jpeg
21941,Microhierax fringillarius,Black-thighed Falconet,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21941,https://cms.mybis.gov.my/thumbnail/s300_3561.jpeg
9990,Microhyla berdmorei,Berdmore's Narrow-mouthed Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9990,https://cms.mybis.gov.my/thumbnail/s300_6888.jpeg
19588,Microhyla butleri,Katak Padi Butler,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=19588,https://cms.mybis.gov.my/thumbnail/s300_6890.jpeg
19591,Microhyla heymonsi,Dark-sided Narrow-mouthed Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=19591,https://cms.mybis.gov.my/thumbnail/s300_6892.jpeg
9991,Microhyla mantheyi,Manthey's Narrow-mouthed Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9991,https://cms.mybis.gov.my/thumbnail/s300_2351.jpeg
52406,Micropternus brachyurus,Rufous Woodpecker,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52406,https://cms.mybis.gov.my/thumbnail/s300_3756.jpeg
20214,Miniopterus schreibersii,Common Bent-winged Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20214,https://cms.mybis.gov.my/thumbnail/s300_12511.jpeg
20239,Muntiacus muntjak,Common Barking Deer,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20239,https://cms.mybis.gov.my/thumbnail/s300_14138.jpeg
20222,Murina aenea,Bronze Tube-nosed Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20222,https://cms.mybis.gov.my/thumbnail/s300_11552.jpeg
20224,Murina cyclotis,Orange Tube-nosed Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20224,https://cms.mybis.gov.my/img/bat.png
20227,Murina rozendaali,Gilded Tube-nosed Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20227,https://cms.mybis.gov.my/img/bat.png
18561,Murina suilla,Brown Tube-nosed Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18561,https://cms.mybis.gov.my/thumbnail/s300_5017.jpeg
21961,Muscicapa dauurica,Asian Brown Flycatcher,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21961,https://cms.mybis.gov.my/thumbnail/s300_2747.jpeg
21967,Muscicapa sibirica,Dark-sided Flycatcher,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21967,https://cms.mybis.gov.my/thumbnail/s300_2806.jpeg
22476,Myotis hermani,Herman's Myotis,Vulnerable,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22476,https://cms.mybis.gov.my/img/bat.png
20233,Myotis horsfieldii,Horsefield's Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20233,https://cms.mybis.gov.my/img/bat.png
20234,Myotis montivagus,Large Brown Myotis,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20234,https://cms.mybis.gov.my/img/bat.png
18568,Myotis muricola,Whiskered Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18568,https://cms.mybis.gov.my/thumbnail/s300_9978.jpeg
18571,Myotis ridleyi,Kelawar Tikus Telinga Kecil,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18571,https://cms.mybis.gov.my/thumbnail/s300_11546.jpeg
21356,Naja sumatrana,Sumatran Spitting Cobra,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21356,https://cms.mybis.gov.my/thumbnail/s300_10327.jpeg
20265,Neofelis nebulosa,Clouded Leopard,Near Threat,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20265,https://cms.mybis.gov.my/img/carnivora.png
48722,Nephila pilipes,Golden Web Spider,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=48722,https://cms.mybis.gov.my/thumbnail/s300_9545.jpeg
52405,Nisaetus nanus,Wallace's Hawk-eagle,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52405,https://cms.mybis.gov.my/thumbnail/s300_3868.jpeg
20294,Niviventer cremoriventer,Dark-tailed Tree Rat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20294,https://cms.mybis.gov.my/img/shrew.png
52743,Nycteris tragata,Malayan Slit-faced Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52743,https://cms.mybis.gov.my/img/bat.png
20279,Nycticebus coucang,Slow Loris,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20279,https://cms.mybis.gov.my/thumbnail/s300_5610.jpeg
9984,Nyctixalus pictus,Cinnamon Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9984,https://cms.mybis.gov.my/thumbnail/s300_7468.jpeg
9979,Occidozyga laevis,Yellow-bellied Puddle Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9979,https://cms.mybis.gov.my/thumbnail/s300_6895.jpeg
52289,Occidozyga martensii,Marten’s Puddle Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52289,https://cms.mybis.gov.my/thumbnail/s300_7113.jpeg
9983,Odorrana hosii,Poisonous Rock Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9983,https://cms.mybis.gov.my/thumbnail/s300_5152.jpeg
21347,Oligodon purpurascens,Brown Kukri Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21347,https://cms.mybis.gov.my/thumbnail/s300_3557.jpeg
9942,Ophiophagus hannah,King Cobra,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9942,https://cms.mybis.gov.my/thumbnail/s300_6286.jpeg
53769,Oreocryptophis porphyraceus,Red Bamboo Trinket Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=53769,https://cms.mybis.gov.my/img/snake.png
22053,Oriolus chinensis,Black-naped Oriole,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22053,https://cms.mybis.gov.my/thumbnail/s300_2765.jpeg
22067,Orthotomus atrogularis,Dark-necked Tailorbird,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22067,https://cms.mybis.gov.my/thumbnail/s300_3704.jpeg
48144,Orthotomus ruficeps,Ashy Tailorbird,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=48144,https://cms.mybis.gov.my/thumbnail/s300_2966.jpeg
22075,Orthotomus sutorius,Common Tailorbird,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22075,https://cms.mybis.gov.my/thumbnail/s300_5100.jpeg
21434,Ovophis convictus,Mountain Pit Viper,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21434,https://cms.mybis.gov.my/thumbnail/s300_11203.jpeg
24142,Oxyeleotris marmorata,Ketutu,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=24142,https://cms.mybis.gov.my/thumbnail/s300_9720.jpeg
20272,Paguma larvata,Masked Palm Civet,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20272,https://cms.mybis.gov.my/thumbnail/s300_8103.jpeg
20267,Panthera pardus,Leopard,Endangered,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20267,https://cms.mybis.gov.my/img/carnivora.png
20274,Paradoxurus musangus,Common Palm Civet,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20274,https://cms.mybis.gov.my/thumbnail/s300_7225.jpeg
21416,Pareas carinatus,Keeled Slug-eating Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21416,https://cms.mybis.gov.my/thumbnail/s300_11207.jpeg
48129,Pelargopsis capensis,Stork-billed Kingfisher,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=48129,https://cms.mybis.gov.my/thumbnail/s300_3181.jpeg
22660,Pellorneum bicolor,Ferruginous Babbler,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22660,https://cms.mybis.gov.my/thumbnail/s300_4521.jpeg
22167,Pellorneum capistratum,Black-capped Babbler,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22167,https://cms.mybis.gov.my/thumbnail/s300_10556.jpeg
18574,Penthetor lucasi,Dusky Fruit Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18574,https://cms.mybis.gov.my/thumbnail/s300_11544.jpeg
22169,Pericrocotus divaricatus,Ashy Minivet,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22169,https://cms.mybis.gov.my/thumbnail/s300_3448.jpeg
22175,Pernis ptilorhynchus,Oriental Honey-buzzard,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22175,https://cms.mybis.gov.my/thumbnail/s300_2870.jpeg
20292,Petaurista petaurista,Red Giant Flying Squirrel,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20292,https://cms.mybis.gov.my/thumbnail/s300_13806.jpeg
22189,Phaenicophaeus tristis,Green-billed Malkoha,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22189,https://cms.mybis.gov.my/thumbnail/s300_3072.jpeg
48727,Philentoma pyrhoptera,Rufous-winged Philentoma,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=48727,https://cms.mybis.gov.my/thumbnail/s300_10878.jpeg
20312,Phoniscus atrox,Groove-toothed Trumpet-eared Bat,Vulnerable,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20312,https://cms.mybis.gov.my/thumbnail/s300_11542.jpeg
9992,Phrynella pulchra,Malacca Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9992,https://cms.mybis.gov.my/thumbnail/s300_7125.jpeg
19465,Phrynoidis asper,River Toad,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=19465,https://cms.mybis.gov.my/thumbnail/s300_7099.jpeg
22279,Picus puniceus,Crimson-winged Woodpecker,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22279,https://cms.mybis.gov.my/thumbnail/s300_2805.jpeg
22283,Picus vittatus,Laced Woodpecker,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22283,https://cms.mybis.gov.my/thumbnail/s300_3084.jpeg
22294,Pitta moluccensis,Blue-winged Pitta,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22294,https://cms.mybis.gov.my/thumbnail/s300_3007.jpeg
9985,Polypedates leucomystax,Four-lined Tree Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9985,https://cms.mybis.gov.my/thumbnail/s300_6906.jpeg
19654,Polypedates macrotis,Dark-eared Tree Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=19654,https://cms.mybis.gov.my/thumbnail/s300_7135.jpeg
22333,Polyplectron malacense,Malay Peacock-pheasant,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22333,https://cms.mybis.gov.my/thumbnail/s300_10790.jpeg
52745,Presbytis femoralis,Banded Surili,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52745,https://cms.mybis.gov.my/thumbnail/s300_8109.jpeg
52746,Presbytis siamensis,White-thighed Surili,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52746,https://cms.mybis.gov.my/thumbnail/s300_8112.jpeg
22359,Prinia flaviventris,Yellow-bellied Prinia,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22359,https://cms.mybis.gov.my/thumbnail/s300_3968.jpeg
22361,Prinia rufescens,Rufescent Prinia,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22361,https://cms.mybis.gov.my/thumbnail/s300_3153.jpeg
20360,Prionailurus planiceps,Flat-headed Cat,Near Threat,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20360,https://cms.mybis.gov.my/img/carnivora.png
22363,Prionochilus maculatus,Yellow-breasted Flowerpecker,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22363,https://cms.mybis.gov.my/thumbnail/s300_2947.jpeg
9923,Psammodynastes pulverulentus,Common Mock Viper,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9923,https://cms.mybis.gov.my/thumbnail/s300_11210.jpeg
58007,Pseudocalotes drogon,Drogon’s False Garden Lizard,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=58007,https://cms.mybis.gov.my/img/reptilia.png
58008,Pseudocalotes rhaegal,Rhaegal’s False Garden Lizard,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=58008,https://cms.mybis.gov.my/img/reptilia.png
9924,Pseudorabdion longiceps,Dwarf Reed Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9924,https://cms.mybis.gov.my/thumbnail/s300_9581.jpeg
21514,Pseudoxenodon macrops,Big-eyed Bamboo Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21514,https://cms.mybis.gov.my/img/snake.png
52409,Psilopogon chrysopogon,Gold-whiskered Barbet,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52409,https://cms.mybis.gov.my/thumbnail/s300_2823.jpeg
52413,Psilopogon lineatus,Lineated Barbet,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52413,https://cms.mybis.gov.my/thumbnail/s300_2846.jpeg
52417,Psilopogon mystacophanos,Red-throated Barbet,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52417,https://cms.mybis.gov.my/thumbnail/s300_5105.jpeg
21533,Ptychozoon horsfieldii,Horsfield's Flying Gecko,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21533,https://cms.mybis.gov.my/img/reptilia.png
24281,Puntioplites bulu,Barb,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=24281,https://cms.mybis.gov.my/thumbnail/s300_8150.jpeg
22413,Pycnonotus brunneus,Red-eyed Bulbul,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22413,https://cms.mybis.gov.my/thumbnail/s300_2890.jpeg
22423,Pycnonotus finlaysoni,Stripe-throated Bulbul,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22423,https://cms.mybis.gov.my/thumbnail/s300_3959.jpeg
22427,Pycnonotus goiavier,Yellow-vented Bulbul,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22427,https://cms.mybis.gov.my/thumbnail/s300_2950.jpeg
22438,Pycnonotus plumosus,Olive-winged Bulbul,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22438,https://cms.mybis.gov.my/thumbnail/s300_10793.jpeg
22440,Pycnonotus simplex,Cream-vented Bulbul,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22440,https://cms.mybis.gov.my/thumbnail/s300_3046.jpeg
22449,Pycnonotus zeylanicus,Straw-headed Bulbul,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22449,https://cms.mybis.gov.my/thumbnail/s300_3410.jpeg
22463,Rallina fasciata,Red-legged Crake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22463,https://cms.mybis.gov.my/thumbnail/s300_13461.jpeg
53603,Raorchestes parvulus,Dwarf Bushfrog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=53603,https://cms.mybis.gov.my/thumbnail/s300_6918.jpeg
20385,Rattus rattus,House Rat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20385,https://cms.mybis.gov.my/thumbnail/s300_5947.jpeg
20387,Rattus tiomanicus,Malaysian Field Rat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20387,https://cms.mybis.gov.my/thumbnail/s300_5948.jpeg
20376,Ratufa bicolor,Black Giant Squirrel,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20376,https://cms.mybis.gov.my/thumbnail/s300_2639.jpeg
9927,Rhabdophis chrysargos,Specklebelly Keelback,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9927,https://cms.mybis.gov.my/thumbnail/s300_7178.jpeg
9926,Rhabdophis conspicillatus,Red-bellied Keelback,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9926,https://cms.mybis.gov.my/thumbnail/s300_7179.jpeg
19672,Rhacophorus bipunctatus,Twin Spotted Flying Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=19672,https://cms.mybis.gov.my/thumbnail/s300_6921.jpeg
19681,Rhacophorus nigropalmatus,Wallace's Flying Frog,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=19681,https://cms.mybis.gov.my/thumbnail/s300_6927.jpeg
18593,Rhinolophus acuminatus,Acuminate Horseshoe Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18593,https://cms.mybis.gov.my/thumbnail/s300_11535.jpeg
18594,Rhinolophus affinis,Intermediate Horseshoe Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18594,https://cms.mybis.gov.my/thumbnail/s300_11534.jpeg
52744,Rhinolophus lepidus,Blyth's Horseshoe Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=52744,https://cms.mybis.gov.my/img/bat.png
18599,Rhinolophus luctus,Greater Woolly Horseshoe,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18599,https://cms.mybis.gov.my/thumbnail/s300_5021.jpeg
20466,Rhinolophus stheno,Lesser Brown Horseshoe Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20466,https://cms.mybis.gov.my/thumbnail/s300_11511.jpeg
18602,Rhinolophus trifoliatus,Trefoil Horseshoe Bat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18602,https://cms.mybis.gov.my/thumbnail/s300_5745.jpeg
22514,Rhipidura javanica,Malaysian Pied-fantail,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22514,https://cms.mybis.gov.my/thumbnail/s300_2881.jpeg
20485,Rhizomys sumatrensis,Large Bamboo Rat,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=20485,https://cms.mybis.gov.my/img/animal.png
53916,Rhyticeros subruficollis,Plain-pouched Hornbill,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=53916,https://cms.mybis.gov.my/thumbnail/s300_12938.jpeg
18604,Rousettus amplexicaudatus,Geoffroy's Rousette,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=18604,https://cms.mybis.gov.my/thumbnail/s300_11510.jpeg
22415,Rubigula cyaniventris,Grey-bellied Bulbul,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22415,https://cms.mybis.gov.my/thumbnail/s300_2829.jpeg
22445,Rubigula squamata,Scaly-breasted Bulbul,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22445,https://cms.mybis.gov.my/thumbnail/s300_2912.jpeg
22528,Sasia abnormis,Rufous Piculet,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22528,https://cms.mybis.gov.my/thumbnail/s300_3587.jpeg
21570,Sibynophis collaris,Collared Many-toothed Snake,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21570,https://cms.mybis.gov.my/img/snake.png
21585,Sphenomorphus cameronicus,Cameron Highlands Forest Skink,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=21585,https://cms.mybis.gov.my/img/reptilia.png
9897,Sphenomorphus scotophilus,Spotted Forest Skink,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=9897,https://cms.mybis.gov.my/img/reptilia.png
22546,Spilornis cheela,Crested Serpent Eagle,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22546,https://cms.mybis.gov.my/thumbnail/s300_3319.jpeg
22561,Stachyris poliocephala,Grey-headed Babbler,No Data,Animalia,https://www.mybis.gov.my/one/profile.php?sid=22561,https://cms.mybis.gov.my/thumbnail/s300_3325.jpeg
